Date,Open,High,Low,Close,Volume
2021-04-01,187,187,187,187,187
2021-04-01,156,156,156,156,156
2021-04-01,166,166,166,166,166
2021-04-01,162,162,162,162,162
2021-04-01,163,163,163,163,163
2021-04-01,144,144,144,144,144
2021-04-01,151,151,151,151,151
2021-04-01,126,126,126,126,126
2021-04-01,137,137,137,137,137
2021-04-01,157,157,157,157,157
2021-04-01,125,125,125,125,125
2021-04-01,162,162,162,162,162
2021-04-01,122,122,122,122,122
2021-04-01,127,127,127,127,127
2021-04-01,146,146,146,146,146
2021-04-01,139,139,139,139,139
2021-04-01,99,99,99,99,99
2021-04-01,115,115,115,115,115
2021-04-01,123,123,123,123,123
2021-04-01,117,117,117,117,117
2021-04-01,93,93,93,93,93
2021-04-01,104,104,104,104,104
2021-04-01,105,105,105,105,105
2021-04-01,134,134,134,134,134
2021-04-01,120,120,120,120,120
2021-04-01,116,116,116,116,116
2021-04-01,116,116,116,116,116
2021-04-01,127,127,127,127,127
2021-04-01,96,96,96,96,96
2021-04-01,126,126,126,126,126
2021-04-01,114,114,114,114,114
2021-04-01,93,93,93,93,93
2021-04-01,93,93,93,93,93
2021-04-01,89,89,89,89,89
2021-04-01,94,94,94,94,94
2021-04-01,136,136,136,136,136
2021-04-01,105,105,105,105,105
2021-04-01,89,89,89,89,89
2021-04-01,99,99,99,99,99
2021-04-01,116,116,116,116,116
2021-04-01,77,77,77,77,77
2021-04-01,82,82,82,82,82
2021-04-01,97,97,97,97,97
2021-04-01,78,78,78,78,78
2021-04-01,94,94,94,94,94
2021-04-01,96,96,96,96,96
2021-04-01,92,92,92,92,92
2021-04-01,137,137,137,137,137
2021-04-01,97,97,97,97,97
2021-04-01,87,87,87,87,87
2021-04-01,112,112,112,112,112
2021-04-01,101,101,101,101,101
2021-04-01,96,96,96,96,96
2021-04-01,96,96,96,96,96
2021-04-01,107,107,107,107,107
2021-04-01,98,98,98,98,98
2021-04-01,94,94,94,94,94
2021-04-01,98,98,98,98,98
2021-04-01,80,80,80,80,80
2021-04-01,102,102,102,102,102
2021-04-01,122,122,122,122,122
2021-04-01,93,93,93,93,93
2021-04-01,119,119,119,119,119
2021-04-01,138,138,138,138,138
2021-04-01,92,92,92,92,92
2021-04-01,111,111,111,111,111
2021-04-01,118,118,118,118,118
2021-04-01,102,102,102,102,102
2021-04-01,87,87,87,87,87
2021-04-01,113,113,113,113,113
2021-04-01,109,109,109,109,109
2021-04-01,142,142,142,142,142
2021-04-01,124,124,124,124,124
2021-04-01,126,126,126,126,126
2021-04-01,144,144,144,144,144
2021-04-01,126,126,126,126,126
2021-04-01,139,139,139,139,139
2021-04-01,129,129,129,129,129
2021-04-01,109,109,109,109,109
2021-04-01,130,130,130,130,130
2021-04-01,103,103,103,103,103
2021-04-01,125,125,125,125,125
2021-04-01,139,139,139,139,139
2021-04-01,145,145,145,145,145
2021-04-01,176,176,176,176,176
2021-04-01,138,138,138,138,138
2021-04-01,175,175,175,175,175
2021-04-01,142,142,142,142,142
2021-04-01,150,150,150,150,150
2021-04-01,143,143,143,143,143
2021-04-01,153,153,153,153,153
2021-04-01,133,133,133,133,133
2021-04-01,112,112,112,112,112
2021-04-01,144,144,144,144,144
2021-04-01,160,160,160,160,160
2021-04-01,200,200,200,200,200
2021-04-01,200,200,200,200,200
2021-04-01,157,157,157,157,157
2021-04-01,219,219,219,219,219
2021-04-01,206,206,206,206,206
2021-04-01,178,178,178,178,178
2021-04-01,209,209,209,209,209
2021-04-01,172,172,172,172,172
2021-04-01,154,154,154,154,154
2021-04-01,190,190,190,190,190
2021-04-01,201,201,201,201,201
2021-04-01,181,181,181,181,181
2021-04-01,210,210,210,210,210
2021-04-01,197,197,197,197,197
2021-04-01,234,234,234,234,234
2021-04-01,230,230,230,230,230
2021-04-01,192,192,192,192,192
2021-04-01,176,176,176,176,176
2021-04-01,195,195,195,195,195
2021-04-01,238,238,238,238,238
2021-04-01,172,172,172,172,172
2021-04-01,178,178,178,178,178
2021-04-01,190,190,190,190,190
2021-04-01,188,188,188,188,188
2021-04-01,243,243,243,243,243
2021-04-01,220,220,220,220,220
2021-04-01,303,303,303,303,303
2021-04-01,229,229,229,229,229
2021-04-01,246,246,246,246,246
2021-04-01,220,220,220,220,220
2021-04-01,256,256,256,256,256
2021-04-01,260,260,260,260,260
2021-04-01,234,234,234,234,234
2021-04-01,248,248,248,248,248
2021-04-01,202,202,202,202,202
2021-04-01,244,244,244,244,244
2021-04-01,279,279,279,279,279
2021-04-01,264,264,264,264,264
2021-04-01,290,290,290,290,290
2021-04-01,277,277,277,277,277
2021-04-01,289,289,289,289,289
2021-04-01,276,276,276,276,276
2021-04-01,273,273,273,273,273
2021-04-01,276,276,276,276,276
2021-04-01,247,247,247,247,247
2021-04-01,233,233,233,233,233
2021-04-01,204,204,204,204,204
2021-04-01,283,283,283,283,283
2021-04-01,215,215,215,215,215
2021-04-01,258,258,258,258,258
2021-04-01,260,260,260,260,260
2021-04-01,214,214,214,214,214
2021-04-01,270,270,270,270,270
2021-04-01,215,215,215,215,215
2021-04-01,270,270,270,270,270
2021-04-01,299,299,299,299,299
2021-04-01,255,255,255,255,255
2021-04-01,282,282,282,282,282
2021-04-01,276,276,276,276,276
2021-04-01,228,228,228,228,228
2021-04-01,237,237,237,237,237
2021-04-01,279,279,279,279,279
2021-04-01,315,315,315,315,315
2021-04-01,220,220,220,220,220
2021-04-01,265,265,265,265,265
2021-04-01,251,251,251,251,251
2021-04-01,252,252,252,252,252
2021-04-01,285,285,285,285,285
2021-04-01,225,225,225,225,225
2021-04-01,224,224,224,224,224
2021-04-01,205,205,205,205,205
2021-04-01,224,224,224,224,224
2021-04-01,221,221,221,221,221
2021-04-01,319,319,319,319,319
2021-04-01,249,249,249,249,249
2021-04-01,271,271,271,271,271
2021-04-01,257,257,257,257,257
2021-04-01,251,251,251,251,251
2021-04-01,280,280,280,280,280
2021-04-01,265,265,265,265,265
2021-04-01,238,238,238,238,238
2021-04-01,264,264,264,264,264
2021-04-01,233,233,233,233,233
2021-04-01,277,277,277,277,277
2021-04-01,258,258,258,258,258
2021-04-01,284,284,284,284,284
2021-04-01,234,234,234,234,234
2021-04-01,226,226,226,226,226
2021-04-01,288,288,288,288,288
2021-04-01,208,208,208,208,208
2021-04-01,206,206,206,206,206
2021-04-01,280,280,280,280,280
2021-04-01,290,290,290,290,290
2021-04-01,281,281,281,281,281
2021-04-01,295,295,295,295,295
2021-04-01,194,194,194,194,194
2021-04-01,270,270,270,270,270
2021-04-01,256,256,256,256,256
2021-04-01,225,225,225,225,225
2021-04-01,278,278,278,278,278
2021-04-01,260,260,260,260,260
2021-04-01,230,230,230,230,230
2021-04-01,243,243,243,243,243
2021-04-01,277,277,277,277,277
2021-04-01,336,336,336,336,336
2021-04-01,324,324,324,324,324
2021-04-01,305,305,305,305,305
2021-04-01,270,270,270,270,270
2021-04-01,276,276,276,276,276
2021-04-01,230,230,230,230,230
2021-04-01,294,294,294,294,294
2021-04-01,256,256,256,256,256
2021-04-01,253,253,253,253,253
2021-04-01,304,304,304,304,304
2021-04-01,307,307,307,307,307
2021-04-01,293,293,293,293,293
2021-04-01,265,265,265,265,265
2021-04-01,231,231,231,231,231
2021-04-01,326,326,326,326,326
2021-04-01,258,258,258,258,258
2021-04-01,250,250,250,250,250
2021-04-01,275,275,275,275,275
2021-04-01,324,324,324,324,324
2021-04-01,273,273,273,273,273
2021-04-01,318,318,318,318,318
2021-04-01,268,268,268,268,268
2021-04-01,316,316,316,316,316
2021-04-01,289,289,289,289,289
2021-04-01,294,294,294,294,294
2021-04-01,240,240,240,240,240
2021-04-01,247,247,247,247,247
2021-04-01,273,273,273,273,273
2021-04-01,273,273,273,273,273
2021-04-01,277,277,277,277,277
2021-04-01,285,285,285,285,285
2021-04-01,256,256,256,256,256
2021-04-01,266,266,266,266,266
2021-04-01,280,280,280,280,280
2021-04-01,294,294,294,294,294
2021-04-01,272,272,272,272,272
2021-04-01,262,262,262,262,262
2021-04-01,230,230,230,230,230
2021-04-01,276,276,276,276,276
2021-04-01,249,249,249,249,249
2021-04-01,251,251,251,251,251
2021-04-01,302,302,302,302,302
2021-04-01,293,293,293,293,293
2021-04-01,286,286,286,286,286
2021-04-01,240,240,240,240,240
2021-04-01,242,242,242,242,242
2021-04-01,247,247,247,247,247
2021-04-01,266,266,266,266,266
2021-04-01,277,277,277,277,277
2021-04-01,237,237,237,237,237
2021-04-01,249,249,249,249,249
2021-04-01,236,236,236,236,236
2021-04-01,245,245,245,245,245
2021-04-01,225,225,225,225,225
2021-04-01,241,241,241,241,241
2021-04-01,242,242,242,242,242
2021-04-01,300,300,300,300,300
2021-04-01,219,219,219,219,219
2021-04-01,217,217,217,217,217
2021-04-01,280,280,280,280,280
2021-04-01,290,290,290,290,290
2021-04-01,243,243,243,243,243
2021-04-01,278,278,278,278,278
2021-04-01,190,190,190,190,190
2021-04-01,241,241,241,241,241
2021-04-01,219,219,219,219,219
2021-04-01,216,216,216,216,216
2021-04-01,209,209,209,209,209
2021-04-01,226,226,226,226,226
2021-04-01,225,225,225,225,225
2021-04-01,232,232,232,232,232
2021-04-01,213,213,213,213,213
2021-04-01,211,211,211,211,211
2021-04-01,207,207,207,207,207
2021-04-01,216,216,216,216,216
2021-04-01,141,141,141,141,141
2021-04-01,188,188,188,188,188
2021-04-01,191,191,191,191,191
2021-04-01,183,183,183,183,183
2021-04-01,185,185,185,185,185
2021-04-01,178,178,178,178,178
2021-04-01,191,191,191,191,191
2021-04-01,182,182,182,182,182
2021-04-01,166,166,166,166,166
2021-04-01,145,145,145,145,145
2021-04-01,63,63,63,63,63
2021-04-01,50,50,50,50,50
2021-04-01,48,48,48,48,48
2021-04-01,58,58,58,58,58
2021-04-02,188,188,188,188,188
2021-04-02,160,160,160,160,160
2021-04-02,151,151,151,151,151
2021-04-02,161,161,161,161,161
2021-04-02,164,164,164,164,164
2021-04-02,119,119,119,119,119
2021-04-02,144,144,144,144,144
2021-04-02,147,147,147,147,147
2021-04-02,114,114,114,114,114
2021-04-02,140,140,140,140,140
2021-04-02,101,101,101,101,101
2021-04-02,117,117,117,117,117
2021-04-02,108,108,108,108,108
2021-04-02,121,121,121,121,121
2021-04-02,137,137,137,137,137
2021-04-02,108,108,108,108,108
2021-04-02,103,103,103,103,103
2021-04-02,117,117,117,117,117
2021-04-02,107,107,107,107,107
2021-04-02,133,133,133,133,133
2021-04-02,92,92,92,92,92
2021-04-02,154,154,154,154,154
2021-04-02,97,97,97,97,97
2021-04-02,106,106,106,106,106
2021-04-02,122,122,122,122,122
2021-04-02,155,155,155,155,155
2021-04-02,120,120,120,120,120
2021-04-02,98,98,98,98,98
2021-04-02,106,106,106,106,106
2021-04-02,139,139,139,139,139
2021-04-02,105,105,105,105,105
2021-04-02,120,120,120,120,120
2021-04-02,139,139,139,139,139
2021-04-02,195,195,195,195,195
2021-04-02,106,106,106,106,106
2021-04-02,94,94,94,94,94
2021-04-02,89,89,89,89,89
2021-04-02,111,111,111,111,111
2021-04-02,102,102,102,102,102
2021-04-02,79,79,79,79,79
2021-04-02,80,80,80,80,80
2021-04-02,106,106,106,106,106
2021-04-02,102,102,102,102,102
2021-04-02,109,109,109,109,109
2021-04-02,87,87,87,87,87
2021-04-02,119,119,119,119,119
2021-04-02,67,67,67,67,67
2021-04-02,97,97,97,97,97
2021-04-02,92,92,92,92,92
2021-04-02,89,89,89,89,89
2021-04-02,120,120,120,120,120
2021-04-02,91,91,91,91,91
2021-04-02,92,92,92,92,92
2021-04-02,108,108,108,108,108
2021-04-02,92,92,92,92,92
2021-04-02,102,102,102,102,102
2021-04-02,92,92,92,92,92
2021-04-02,108,108,108,108,108
2021-04-02,63,63,63,63,63
2021-04-02,69,69,69,69,69
2021-04-02,89,89,89,89,89
2021-04-02,99,99,99,99,99
2021-04-02,99,99,99,99,99
2021-04-02,120,120,120,120,120
2021-04-02,76,76,76,76,76
2021-04-02,140,140,140,140,140
2021-04-02,121,121,121,121,121
2021-04-02,119,119,119,119,119
2021-04-02,99,99,99,99,99
2021-04-02,136,136,136,136,136
2021-04-02,106,106,106,106,106
2021-04-02,91,91,91,91,91
2021-04-02,110,110,110,110,110
2021-04-02,111,111,111,111,111
2021-04-02,101,101,101,101,101
2021-04-02,124,124,124,124,124
2021-04-02,115,115,115,115,115
2021-04-02,126,126,126,126,126
2021-04-02,107,107,107,107,107
2021-04-02,116,116,116,116,116
2021-04-02,119,119,119,119,119
2021-04-02,127,127,127,127,127
2021-04-02,117,117,117,117,117
2021-04-02,114,114,114,114,114
2021-04-02,120,120,120,120,120
2021-04-02,146,146,146,146,146
2021-04-02,155,155,155,155,155
2021-04-02,155,155,155,155,155
2021-04-02,156,156,156,156,156
2021-04-02,150,150,150,150,150
2021-04-02,166,166,166,166,166
2021-04-02,140,140,140,140,140
2021-04-02,131,131,131,131,131
2021-04-02,172,172,172,172,172
2021-04-02,143,143,143,143,143
2021-04-02,133,133,133,133,133
2021-04-02,116,116,116,116,116
2021-04-02,149,149,149,149,149
2021-04-02,145,145,145,145,145
2021-04-02,144,144,144,144,144
2021-04-02,134,134,134,134,134
2021-04-02,170,170,170,170,170
2021-04-02,171,171,171,171,171
2021-04-02,180,180,180,180,180
2021-04-02,157,157,157,157,157
2021-04-02,172,172,172,172,172
2021-04-02,152,152,152,152,152
2021-04-02,160,160,160,160,160
2021-04-02,208,208,208,208,208
2021-04-02,181,181,181,181,181
2021-04-02,209,209,209,209,209
2021-04-02,213,213,213,213,213
2021-04-02,198,198,198,198,198
2021-04-02,242,242,242,242,242
2021-04-02,200,200,200,200,200
2021-04-02,204,204,204,204,204
2021-04-02,215,215,215,215,215
2021-04-02,203,203,203,203,203
2021-04-02,229,229,229,229,229
2021-04-02,190,190,190,190,190
2021-04-02,231,231,231,231,231
2021-04-02,232,232,232,232,232
2021-04-02,225,225,225,225,225
2021-04-02,233,233,233,233,233
2021-04-02,253,253,253,253,253
2021-04-02,257,257,257,257,257
2021-04-02,205,205,205,205,205
2021-04-02,262,262,262,262,262
2021-04-02,208,208,208,208,208
2021-04-02,205,205,205,205,205
2021-04-02,192,192,192,192,192
2021-04-02,203,203,203,203,203
2021-04-02,172,172,172,172,172
2021-04-02,236,236,236,236,236
2021-04-02,222,222,222,222,222
2021-04-02,227,227,227,227,227
2021-04-02,184,184,184,184,184
2021-04-02,240,240,240,240,240
2021-04-02,244,244,244,244,244
2021-04-02,240,240,240,240,240
2021-04-02,212,212,212,212,212
2021-04-02,238,238,238,238,238
2021-04-02,235,235,235,235,235
2021-04-02,233,233,233,233,233
2021-04-02,205,205,205,205,205
2021-04-02,210,210,210,210,210
2021-04-02,224,224,224,224,224
2021-04-02,214,214,214,214,214
2021-04-02,234,234,234,234,234
2021-04-02,216,216,216,216,216
2021-04-02,282,282,282,282,282
2021-04-02,303,303,303,303,303
2021-04-02,255,255,255,255,255
2021-04-02,222,222,222,222,222
2021-04-02,263,263,263,263,263
2021-04-02,237,237,237,237,237
2021-04-02,316,316,316,316,316
2021-04-02,268,268,268,268,268
2021-04-02,246,246,246,246,246
2021-04-02,209,209,209,209,209
2021-04-02,231,231,231,231,231
2021-04-02,269,269,269,269,269
2021-04-02,232,232,232,232,232
2021-04-02,238,238,238,238,238
2021-04-02,283,283,283,283,283
2021-04-02,244,244,244,244,244
2021-04-02,251,251,251,251,251
2021-04-02,257,257,257,257,257
2021-04-02,249,249,249,249,249
2021-04-02,224,224,224,224,224
2021-04-02,293,293,293,293,293
2021-04-02,235,235,235,235,235
2021-04-02,221,221,221,221,221
2021-04-02,236,236,236,236,236
2021-04-02,277,277,277,277,277
2021-04-02,234,234,234,234,234
2021-04-02,221,221,221,221,221
2021-04-02,237,237,237,237,237
2021-04-02,238,238,238,238,238
2021-04-02,213,213,213,213,213
2021-04-02,238,238,238,238,238
2021-04-02,241,241,241,241,241
2021-04-02,212,212,212,212,212
2021-04-02,196,196,196,196,196
2021-04-02,222,222,222,222,222
2021-04-02,293,293,293,293,293
2021-04-02,222,222,222,222,222
2021-04-02,196,196,196,196,196
2021-04-02,254,254,254,254,254
2021-04-02,204,204,204,204,204
2021-04-02,194,194,194,194,194
2021-04-02,222,222,222,222,222
2021-04-02,202,202,202,202,202
2021-04-02,203,203,203,203,203
2021-04-02,222,222,222,222,222
2021-04-02,194,194,194,194,194
2021-04-02,210,210,210,210,210
2021-04-02,251,251,251,251,251
2021-04-02,242,242,242,242,242
2021-04-02,175,175,175,175,175
2021-04-02,246,246,246,246,246
2021-04-02,219,219,219,219,219
2021-04-02,192,192,192,192,192
2021-04-02,202,202,202,202,202
2021-04-02,211,211,211,211,211
2021-04-02,182,182,182,182,182
2021-04-02,216,216,216,216,216
2021-04-02,221,221,221,221,221
2021-04-02,205,205,205,205,205
2021-04-02,283,283,283,283,283
2021-04-02,203,203,203,203,203
2021-04-02,219,219,219,219,219
2021-04-02,228,228,228,228,228
