Date,Open,High,Low,Close,Volume
2021-04-01,187,187,187,187,187
2021-04-02,146,146,146,146,146
2021-04-03,136,136,136,136,136
2021-04-04,137,137,137,137,137
2021-04-05,112,112,112,112,112
2021-04-06,142,142,142,142,142
2021-04-07,145,145,145,145,145
2021-04-08,200,200,200,200,200
2021-04-09,219,219,219,219,219
2021-04-10,243,243,243,243,243
2021-04-11,303,303,303,303,303
2021-04-12,290,290,290,290,290
2021-04-13,299,299,299,299,299
2021-04-14,315,315,315,315,315
2021-04-15,319,319,319,319,319
2021-04-16,295,295,295,295,295
2021-04-17,336,336,336,336,336
2021-04-18,326,326,326,326,326
2021-04-19,324,324,324,324,324
2021-04-20,294,294,294,294,294
2021-04-21,302,302,302,302,302
2021-04-22,300,300,300,300,300
2021-04-23,232,232,232,232,232
2021-04-24,191,191,191,191,191
2021-04-25,188,188,188,188,188
2021-04-26,154,154,154,154,154
2021-04-27,195,195,195,195,195
2021-04-28,119,119,119,119,119
2021-04-29,120,120,120,120,120
2021-04-30,140,140,140,140,140
2021-05-01,127,127,127,127,127
2021-05-02,172,172,172,172,172
2021-05-03,180,180,180,180,180
2021-05-04,242,242,242,242,242
2021-05-05,262,262,262,262,262
2021-05-06,244,244,244,244,244
2021-05-07,303,303,303,303,303
2021-05-08,316,316,316,316,316
2021-05-09,293,293,293,293,293
2021-05-10,293,293,293,293,293
2021-05-11,251,251,251,251,251
2021-05-12,283,283,283,283,283
2021-05-13,267,267,267,267,267
2021-05-14,279,279,279,279,279
2021-05-15,290,290,290,290,290
2021-05-16,289,289,289,289,289
2021-05-17,249,249,249,249,249
2021-05-18,103,103,103,103,103
2021-05-19,199,199,199,199,199
2021-05-20,135,135,135,135,135
2021-05-21,159,159,159,159,159
2021-05-22,131,131,131,131,131
2021-05-23,122,122,122,122,122
2021-05-24,118,118,118,118,118
2021-05-25,136,136,136,136,136
2021-05-26,144,144,144,144,144
2021-05-27,193,193,193,193,193
2021-05-28,227,227,227,227,227
2021-05-29,271,271,271,271,271
2021-05-30,291,291,291,291,291
2021-05-31,296,296,296,296,296
2021-06-01,294,294,294,294,294
2021-06-02,258,258,258,258,258
2021-06-03,247,247,247,247,247
2021-06-04,269,269,269,269,269
2021-06-05,273,273,273,273,273
2021-06-06,316,316,316,316,316
2021-06-07,300,300,300,300,300
2021-06-08,319,319,319,319,319
2021-06-09,286,286,286,286,286
2021-06-10,232,232,232,232,232
2021-06-11,212,212,212,212,212
2021-06-12,183,183,183,183,183
2021-06-13,145,145,145,145,145
2021-06-14,135,135,135,135,135
2021-06-15,128,128,128,128,128
2021-06-16,106,106,106,106,106
2021-06-17,121,121,121,121,121
2021-06-18,120,120,120,120,120
2021-06-19,141,141,141,141,141
2021-06-20,184,184,184,184,184
2021-06-21,221,221,221,221,221
2021-06-22,244,244,244,244,244
2021-06-23,315,315,315,315,315
2021-06-24,288,288,288,288,288
2021-06-25,251,251,251,251,251
2021-06-26,260,260,260,260,260
2021-06-27,241,241,241,241,241
2021-06-28,249,249,249,249,249
2021-06-29,287,287,287,287,287
2021-06-30,278,278,278,278,278
2021-07-01,247,247,247,247,247
2021-07-02,262,262,262,262,262
2021-07-03,288,288,288,288,288
2021-07-04,256,256,256,256,256
2021-07-05,138,138,138,138,138
2021-07-06,177,177,177,177,177
2021-07-07,167,167,167,167,167
2021-07-08,137,137,137,137,137
2021-07-09,120,120,120,120,120
2021-07-10,120,120,120,120,120
2021-07-11,147,147,147,147,147
2021-07-12,202,202,202,202,202
2021-07-13,193,193,193,193,193
2021-07-14,288,288,288,288,288
2021-07-15,307,307,307,307,307
2021-07-16,320,320,320,320,320
2021-07-17,338,338,338,338,338
2021-07-18,332,332,332,332,332
2021-07-19,365,365,365,365,365
2021-07-20,295,295,295,295,295
2021-07-21,333,333,333,333,333
2021-07-22,328,328,328,328,328
2021-07-23,320,320,320,320,320
2021-07-24,345,345,345,345,345
2021-07-25,340,340,340,340,340
2021-07-26,298,298,298,298,298
2021-07-27,253,253,253,253,253
2021-07-28,250,250,250,250,250
2021-07-29,293,293,293,293,293
2021-07-30,317,317,317,317,317
2021-07-31,248,248,248,248,248
2021-08-01,215,215,215,215,215
2021-08-02,169,169,169,169,169
2021-08-03,256,256,256,256,256
2021-08-04,130,130,130,130,130
2021-08-05,154,154,154,154,154
2021-08-06,207,207,207,207,207
2021-08-07,286,286,286,286,286
2021-08-08,282,282,282,282,282
