Date	Open	High	Low	Close*	Adj Close**	Volume
Apr 15, 2021	0.1212	0.1873	0.1207	0.1822	0.1822	17,916,620,386
Apr 14, 2021	0.0943	0.1425	0.0925	0.1215	0.1215	20,977,679,327
Apr 13, 2021	0.0707	0.0952	0.0707	0.0934	0.0934	7,176,815,089
Apr 12, 2021	0.0745	0.0750	0.0689	0.0708	0.0708	2,687,720,380
Apr 11, 2021	0.0637	0.0792	0.0632	0.0746	0.0746	6,646,627,317
Apr 10, 2021	0.0616	0.0651	0.0608	0.0638	0.0638	1,369,793,117
Apr 09, 2021	0.0615	0.0639	0.0603	0.0617	0.0617	1,060,465,773
Apr 08, 2021	0.0590	0.0617	0.0588	0.0615	0.0615	1,055,257,541
Apr 07, 2021	0.0645	0.0673	0.0576	0.0590	0.0590	2,857,060,848
Apr 06, 2021	0.0597	0.0650	0.0581	0.0645	0.0645	2,608,613,911
Apr 05, 2021	0.0574	0.0602	0.0564	0.0597	0.0597	1,513,832,720
Apr 04, 2021	0.0558	0.0581	0.0553	0.0574	0.0574	938,035,097
Apr 03, 2021	0.0577	0.0595	0.0558	0.0558	0.0558	1,136,931,402
Apr 02, 2021	0.0620	0.0622	0.0573	0.0577	0.0577	2,166,925,111
Apr 01, 2021	0.0537	0.0701	0.0536	0.0620	0.0620	5,816,046,821
Mar 31, 2021	0.0539	0.0545	0.0523	0.0537	0.0537	653,389,282
Mar 30, 2021	0.0541	0.0554	0.0537	0.0539	0.0539	728,906,171
Mar 29, 2021	0.0537	0.0547	0.0532	0.0541	0.0541	537,919,139
Mar 28, 2021	0.0544	0.0548	0.0530	0.0537	0.0537	460,472,974
Mar 27, 2021	0.0539	0.0554	0.0535	0.0544	0.0544	753,844,053
Mar 26, 2021	0.0514	0.0540	0.0513	0.0540	0.0540	776,280,028
Mar 25, 2021	0.0517	0.0524	0.0497	0.0514	0.0514	1,084,214,115
Mar 24, 2021	0.0535	0.0565	0.0512	0.0517	0.0517	934,537,959
Mar 23, 2021	0.0549	0.0561	0.0529	0.0536	0.0536	1,040,781,776
Mar 22, 2021	0.0573	0.0577	0.0549	0.0550	0.0550	696,918,564
Mar 21, 2021	0.0590	0.0595	0.0568	0.0572	0.0572	759,592,995
Mar 20, 2021	0.0583	0.0606	0.0581	0.0590	0.0590	1,012,934,487
Mar 19, 2021	0.0574	0.0597	0.0566	0.0583	0.0583	964,747,809
Mar 18, 2021	0.0576	0.0588	0.0541	0.0574	0.0574	909,777,444
Mar 17, 2021	0.0586	0.0589	0.0565	0.0577	0.0577	861,926,642
Mar 16, 2021	0.0571	0.0589	0.0555	0.0586	0.0586	1,393,771,912
Mar 15, 2021	0.0585	0.0597	0.0551	0.0571	0.0571	1,738,710,876
Mar 14, 2021	0.0624	0.0631	0.0586	0.0586	0.0586	2,752,132,529
Mar 13, 2021	0.0554	0.0624	0.0548	0.0624	0.0624	1,869,833,075
Mar 12, 2021	0.0559	0.0570	0.0545	0.0553	0.0553	1,287,767,220
